symbol,side,entry_time,entry_price,qty,sl,tp,status,reason,highest_high,lowest_low,trailing_active,sl_original,exit_time,exit_price,exit_reason,pnl,pnl_percent,breakeven_active,pyramided
3MINDIA.NS,BUY,2025-10-10 09:35:00+05:30,29455.0,5,29480.0,29505.0,CLOSED,Impulse Buy: Retraced to 29465.00,29505.0,29445.0,True,29430.0,2025-10-10 09:40:00+05:30,29480.0,Hit SL,125.0,0.08487523340689188,,
3MINDIA.NS,BUY,2025-10-13 09:25:00+05:30,29505.0,5,29535.0,29525.0,CLOSED,Impulse Buy: Retraced to 29535.00,29545.0,29500.0,True,29495.0,2025-10-13 09:30:00+05:30,29535.0,Hit SL,150.0,0.10167768174885612,,
3MINDIA.NS,BUY,2025-10-14 09:55:00+05:30,29290.0,2,29045.0,29780.0,CLOSED,Impulse Buy: Retraced to 29050.00,29320.0,28990.0,False,29045.0,2025-10-14 09:55:00+05:30,29045.0,Hit SL,-490.0,-0.8364629566404916,,
3MINDIA.NS,SELL,2025-10-15 09:15:00+05:30,29070.0,5,29167.5,28875.0,CLOSED,Impulse Sell: Retraced to 29133.75,29245.0,28990.0,False,29167.5,2025-10-15 09:15:00+05:30,29167.5,Hit SL,-487.5,-0.3353973168214654,,
3MINDIA.NS,BUY,2025-10-16 09:50:00+05:30,29310.0,5,29300.0,29330.0,CLOSED,Impulse Buy: Retraced to 29312.50,29320.0,29260.0,False,29300.0,2025-10-16 09:50:00+05:30,29300.0,Hit SL,-50.0,-0.0341180484476288,,
3MINDIA.NS,BUY,2025-10-17 09:40:00+05:30,29485.0,5,29460.0,29535.0,CLOSED,Impulse Buy: Retraced to 29477.50,29495.0,29455.0,False,29460.0,2025-10-17 09:40:00+05:30,29460.0,Hit SL,-125.0,-0.08478887569950823,,
3MINDIA.NS,BUY,2025-10-20 09:35:00+05:30,29465.0,5,29430.0,29535.0,CLOSED,Impulse Buy: Retraced to 29437.50,29465.0,29380.0,False,29430.0,2025-10-20 09:35:00+05:30,29430.0,Hit SL,-175.0,-0.11878499915153572,,
3MINDIA.NS,BUY,2025-10-21 14:00:00+05:30,29840.0,5,29825.0,29870.0,CLOSED,Impulse Buy: Retraced to 29842.50,29860.0,29805.0,False,29825.0,2025-10-21 14:00:00+05:30,29825.0,Hit SL,-75.0,-0.05026809651474531,,
3MINDIA.NS,BUY,2025-10-23 09:15:00+05:30,29860.0,5,29930.0,30000.0,CLOSED,Impulse Buy: Retraced to 29815.00,30000.0,29800.0,True,29790.0,2025-10-23 09:15:00+05:30,29930.0,Hit SL,350.0,0.23442732752846618,,
3MINDIA.NS,BUY,2025-10-24 10:10:00+05:30,29645.0,5,29642.5,29650.0,CLOSED,Impulse Buy: Retraced to 29648.75,29645.0,29615.0,False,29642.5,2025-10-24 10:15:00+05:30,29642.5,Hit SL,-12.5,-0.008433125316242199,,
