symbol,side,entry_time,entry_price,qty,sl,tp,status,reason,highest_high,lowest_low,trailing_active,sl_original,breakeven_active,exit_time,exit_price,exit_reason,pnl,pnl_percent,pyramided
3MINDIA.NS,BUY,2025-11-07 09:30:00+05:30,35300.0,1,35680.5,36258.5,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 26.4,36000.0,35115.0,True,34980.5,True,2025-11-07 10:00:00+05:30,35680.5,Hit SL,380.5,1.0779036827195467,
3MINDIA.NS,BUY,2025-11-11 09:40:00+05:30,36190.0,2,35901.8,37054.6,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 29.5,36595.0,35820.0,False,35901.8,,2025-11-11 11:05:00+05:30,35901.8,Hit SL,-576.3999999999942,-0.7963525835866181,
3MINDIA.NS,BUY,2025-11-12 09:50:00+05:30,36183.333333333336,3,36183.35,36718.0,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 22.0,36430.0,35995.0,False,35894.0,True,2025-11-13 09:25:00+05:30,36183.35,Hit SL,0.04999999998835847,4.606172269770472e-05,True
3MINDIA.NS,BUY,2025-11-13 10:05:00+05:30,36220.0,4,36220.0,36739.1,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 22.4,36390.0,36105.0,False,35980.3,True,2025-11-13 11:00:00+05:30,36220.0,Hit SL,0.0,0.0,True
3MINDIA.NS,BUY,2025-11-14 09:35:00+05:30,36050.0,4,35956.55,36330.35,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 19.5,36100.0,35955.0,False,35956.55,,2025-11-14 10:25:00+05:30,35956.55,Hit SL,-373.79999999998836,-0.2592233009708657,
3MINDIA.NS,BUY,2025-11-18 09:55:00+05:30,36170.0,6,36170.0,36359.75,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 21.0,36315.0,36090.0,False,36066.75,True,2025-11-18 11:15:00+05:30,36170.0,Hit SL,0.0,0.0,True
3MINDIA.NS,BUY,2025-11-19 09:55:00+05:30,36165.0,3,35982.0,36714.0,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 21.7,36165.0,35970.0,False,35982.0,,2025-11-19 10:55:00+05:30,35982.0,Hit SL,-549.0,-0.5060141020323516,
3MINDIA.NS,SELL,2025-11-20 10:25:00+05:30,35735.0,1,34865.8,34187.6,CLOSED,SMC Order Block Retest | HTF BEARISH | ADX 16.3,35800.0,34350.0,True,36250.8,True,2025-12-05 09:15:00+05:30,34865.8,Hit SL,869.1999999999971,2.432349237442275,
3MINDIA.NS,SELL,2025-12-05 09:30:00+05:30,34590.0,1,34197.1,33413.700000000004,CLOSED,SMC Order Block Retest | HTF BEARISH | ADX 21.6,34660.0,33805.0,True,34982.1,True,2025-12-08 09:50:00+05:30,34197.1,Hit SL,392.90000000000146,1.13587742122001,
3MINDIA.NS,SELL,2025-12-08 11:00:00+05:30,34700.0,4,34829.950000000004,34310.15,CLOSED,SMC Order Block Retest | HTF BEARISH | ADX 23.7,34830.0,34625.0,False,34829.950000000004,,2025-12-08 11:35:00+05:30,34829.950000000004,Hit SL,-519.8000000000175,-0.37449567723344196,
3MINDIA.NS,SELL,2025-12-10 09:40:00+05:30,34437.5,4,34437.5,33996.8,CLOSED,SMC Order Block Retest | HTF BEARISH | ADX 24.6,34630.0,34215.0,False,34654.4,True,2025-12-10 13:50:00+05:30,34437.5,Hit SL,0.0,0.0,True
3MINDIA.NS,SELL,2025-12-11 09:45:00+05:30,34243.75,4,34243.75,33813.200000000004,CLOSED,SMC Order Block Retest | HTF BEARISH | ADX 20.8,34360.0,34085.0,False,34455.6,True,2025-12-11 10:55:00+05:30,34243.75,Hit SL,0.0,0.0,True
3MINDIA.NS,BUY,2025-12-12 09:30:00+05:30,34710.0,1,35213.25,35690.25,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 15.0,35540.0,34620.0,True,34383.25,True,2025-12-12 11:50:00+05:30,35213.25,Hit SL,503.25,1.4498703543647362,
3MINDIA.NS,BUY,2025-12-15 09:35:00+05:30,35500.0,1,35182.6,36452.200000000004,CLOSED,SMC Trend Continuation (BOS) | HTF BULLISH | ADX 27.1,35800.0,35165.0,False,35182.6,,2025-12-16 09:25:00+05:30,35182.6,Hit SL,-317.40000000000146,-0.8940845070422577,
3MINDIA.NS,BUY,2025-12-16 09:45:00+05:30,35315.0,6,35315.0,35600.05,CLOSED,SMC Order Block Retest | HTF BULLISH | ADX 25.8,35535.0,35185.0,False,35146.65,True,2025-12-16 15:20:00+05:30,35315.0,Hit SL,0.0,0.0,True
